date,num_customers,sessions,avg_session_minutes,promo_flag,holiday_flag,revenue
2024-01-01,77,79,91.42943094763707,0,0,998012.0694098622
2024-01-02,86,93,107.32514999485092,0,0,1343306.2730857756
2024-01-03,70,68,112.31300146192632,0,0,1002918.5781387145
2024-01-04,83,82,96.38051101440757,0,0,1169213.6512572845
2024-01-05,90,87,95.00844474944456,0,0,1253787.6861327111
2024-01-06,71,67,71.9894226584726,0,1,1051424.8930869908
2024-01-07,75,72,84.57326200265979,0,1,1136269.9519451798
2024-01-08,78,73,82.12216248091761,0,0,1096995.497587584
2024-01-09,83,83,83.79152401748884,0,0,1191400.369147385
2024-01-10,74,71,88.3185618141521,0,0,1099141.1594676627
2024-01-11,79,79,85.27909422302872,0,0,1159060.1411262776
2024-01-12,71,65,70.20700189624212,1,0,1282765.8102799521
2024-01-13,82,83,97.47910256117534,0,1,1130123.389440593
2024-01-14,83,86,79.27256974260193,0,1,1395086.1806234978
2024-01-15,75,67,92.39246864111149,0,0,1138071.8039502848
2024-01-16,85,86,110.74082669749973,0,0,1197911.4468177939
2024-01-17,68,72,80.80615408413577,1,0,1274583.1538485591
2024-01-18,73,68,64.69712477253671,0,0,1085227.966115221
2024-01-19,75,81,87.13995778119889,0,0,890933.4421447049
2024-01-20,81,82,101.00959634998571,0,1,1264710.902234313
2024-01-21,82,79,109.58347454220593,0,1,1079520.884528094
2024-01-22,65,64,77.70450405547584,1,0,1301193.6607656754
2024-01-23,59,60,94.96699223236521,0,0,859326.1883495159
2024-01-24,77,77,85.34689543219946,1,0,1515741.2918620815
2024-01-25,90,92,88.94051645695865,0,0,1247904.5943819876
2024-01-26,74,70,116.44343347017035,0,0,1119314.578383133
2024-01-27,69,69,74.97029671604847,0,1,1185312.242762954
2024-01-28,88,81,92.53739661494573,0,1,1277387.7790478922
2024-01-29,86,85,94.67693171765433,0,0,1198541.5131156975
2024-01-30,88,84,100.85786324939347,0,0,1423758.4332230354
2024-01-31,76,73,90.97983153470895,0,0,1226958.5064355314
2024-02-01,91,96,93.08050539504103,0,0,1275114.8919466527
2024-02-02,75,79,86.08351432578209,0,0,856962.7622436021
2024-02-03,75,77,92.69126941245108,1,1,1251176.2776452664
2024-02-04,86,81,86.56807724502589,0,1,1394855.253957058
2024-02-05,93,91,96.21571889856051,0,0,1265259.2766904687
2024-02-06,68,72,86.30389663956366,0,0,1018661.2087492176
2024-02-07,87,87,93.77100393902187,0,0,1202037.8587144704
2024-02-08,88,98,89.70737186315021,0,0,1013944.7214558738
2024-02-09,81,82,101.26050250772168,1,0,1339817.813265094
2024-02-10,75,75,89.48606276411513,0,1,1215872.822793111
